username,review,calificacion
Cynthia Ramírez,"Buena cocina, el Clericot realmente recomendable, lo único malo que por pandemia no hay aire acondicionado y el calor llega a desesperar de ahí en fuera rapidez, atención, limpieza y servicio bien.",3
Iván Roberto Guzmán Juárez,Quedó excelente adaptado en el estacionamiento después de la pandemia. Excelente servicio y muy buenos protocolos de salud.,4
Misce Elian,Bueno pero tardado,2
Adriana Vazquez del Mercado,"La carne dura lo que le sigue, las ensaladas con muchísima azúcar, el lugar que habilitaron (el estacionamiento) con poca luz, probablemente porque no han lavado el piso para que sea agradable a la vista. No pienso volver",0
Gabriel Armando López Juárez,Buen trato y muy buena comida,4
Diego Zoldaty,"Han bajado mucho la calidad de la comida, considero que si ya no es viable el precio actual lo suban, pero que sirvan productos de calidad. (No pidan por delivery te mandan muy poquito).",2
Josselyn janet Nieto cortes,Adaptaron una bodega como plan covid. Límite de personas por mesa son 8 en estos momentos. La jarra de clericot está rica. El buffet también está muy rico aunque no tan variado.…,3
Carlos Mejia,"Muy muy mal, nos atendieron muy mal, el servicio muy lento, solo nos ofrecieron unos cortes una sola vez y terminando nos querían recoger los cubiertos. Además que los alimentos muy fríos.",0
VERONICA ESCOBAR HERNANDEZ,Mmm más o menos para mí gusto,2
Franco 007,Excelente lugar muy cómodo y el bufete de de primera,4
ElMau Calavera,"Ya el servicio de comida no es tan cómodo como antes, ahora con la modalidad de los ""carritos"" no se puede comer a gusto en el lugar.",3
ruth torres,"Excelente, se come muy delicioso. Por lo general hay que hacer fila, pero vale la pena. Me encanta su barra de ensaladas, la piña con canela y la picaña es la mejor que he probado",4
Anali Navarro Puga,"La atención es muy mala, los meseros son muy groseros y si no consumes alcohol no te atienden ni te hacen caso, hay que estar pidiendo mil veces una sola cosa y la carne no es muy buena, tampoco es mala pero he probado mejores.",0
Mony Hdez,La comida es buena. Pero la espera es excesiva. 2 horas esperando por una mesa.,2
Brenda Molina,"La fama es todo lo que tienen. Toda la carne salada, dura y la picaña era como masticar una liga de lo dura que estaba. En la barra de las ensaladas hay un plástico que no te deja ver nada y se entiende por el COVID, está bien que protejan…",1
Mary Gonzalez,Exelente lugar  y el buffet muy rico todo ,4
Rafael Casanova Sánchez,Tienen buena atención. Las medidas de higiene por la pandemia son muy estrictas. La mesa de ensaladas está cubierta por plástico y un mesero(a) te sirve lo que le pides. Las espadas con cortes las traen en carritos completamente cerrados.…,3
Luis Ponce Aguilar,Excelente atención del personal y la comida está muy buena,4
Adolfo Gonzalez,Muy rico,4
Karla Miguel,"Muy mala experiencia era uno de mis restaurantes favoritos, los precios siguen igual que antes , pero solo puedes pedir tres veces el paso del carrito ya no es buffet libre, y los cortes son muy pequeños a comparación de antes , en cada…",0
Tïmmy *Türnër*,Muy buen servicio! Ante todo excelentes precios,3
Miguel Martinez,"El concepto es muy diferente a los demás, sirven de todo y se desperdicia mucha comida. Además de la falta de más cortes. Aún que los alimentos bien. Demasiado ruidoso.",2
edgar torre,Buena variedad,4
Veronik C V,"Deja mucho que desear su barra de ensaladas, la carne muy básica y a mi gusto sus medidas covid dejan mucho que desear el cuanto a servicio y calidad de alimentos",1
Elaine Vega,"La comida es deliciosa, el lugar tiene muy poca ventilación, hace muchísimo calor.",3
Martha Espinosa,"Se come bien, la atención excelente",4
Vanessa Zarate,Esta muy rico. Buenos Cortes,4
Blanca Azucena Cisneros Mendoza,"Las ensaladas muy ricas, la atención estupenda lastima que no acepten el INE en correo electrónico o digital",3
Alejandro Castillo Guzmán,"Buenos cortes, con la sana distancia, la atención muy servicial, atentos a lo que se nos ofrecía.",3
Cristy “KITTY” Del Rio,Un lugar muy cómodo y la con da abundante y riquísima. Buen servicio y precio.,4
Francisco Núñez,"Deja mucho que desear. Son pocos, muy pocos los cortes de carne que hay. La barra de ensaladas es insignificante. Definitivamente no regreso.",2
ALEJANDRO MENDOZA DE LEON,"Excelente atención, precios súper accesibles, aunque hay demasiadas personas en el lugar. Hay que pedir para llevar",4
Ricardo Salinas,No fue lo que me esperaba carne mala Y las bebidas aun mas,0
Francisco Javier Morelos Martinez,"Muy rica la comida, wolo que no tienen en su bufet sopas o caldos",3
Omar Hernandez,"La churrasqueria cerxana al aeropuerto, buen diversidad de carnes en las espadas, pide una buena botella de cavernet sauvignon o si eres fresa una jarra de Clericot, costo adulto 209.00 Mayo 2021 mas bebidas.Atascate mi rey, no olvides la picaña.",4
Sean Cano,Todo bien con los cortes y la atención. Solo que lo negativo es que tienes que esperar como 1 hora o 2 horas para poder ingresar de viernes a domingo.,2
Diana Pardo,Super rico y muy amable el personal,4
Carlos De la Cruz Ramos,"No sé si cambiaron al chef o es por la dinámica que ahora manejan, pero la carne no estaba tan buena.",2
Gilberto Gutierrez,"Buena variedad, buen sazón, higiene de bien nivel, solo cambiaría el tiempo de espera",3
Alejandra Ramirez,Comida muy rica y excelente atención,4
Nancy Elizabeth Rios,"Me agrada el trato y la comida, recomendable",4
